,target,time,turkId
19613,1,335.0440000000001,ID7
19614,1,335.32400000000007,ID7
19615,1,335.72000000000014,ID7
19616,1,335.93200000000013,ID7
19617,1,336.17700000000013,ID7
19618,1,336.26600000000013,ID7
19619,1,336.858005,ID7
19620,1,336.93300000000005,ID7
19621,1,338.05900500000007,ID7
19625,0,341.30600500000014,ID7
19627,0,345.79200500000013,ID7
19629,1,347.75900000000007,ID7
19631,1,348.129005,ID7
19632,1,348.24000000000007,ID7
19633,1,348.42600000000016,ID7
19634,1,348.51100000000014,ID7
19635,1,348.957,ID7
19636,1,349.291,ID7
19637,1,349.90000000000015,ID7
19638,1,349.93400500000007,ID7
19639,1,350.216005,ID7
19640,1,351.43000000000006,ID7
19644,0,353.39400000000006,ID7
19646,0,357.382005,ID7
19648,1,359.721,ID7
19650,1,360.13600000000014,ID7
19651,1,360.28400500000015,ID7
19652,1,361.406005,ID7
19656,1,361.55600500000014,ID7
19658,1,361.608005,ID7
19659,2,361.78000000000014,ID7
19660,2,362.165005,ID7
19661,2,362.1770000000001,ID7
19662,2,362.20000500000015,ID7
19663,2,362.219005,ID7
19664,2,362.24900500000007,ID7
19665,2,362.32500500000015,ID7
19666,2,362.54700000000014,ID7
19667,2,362.68300000000005,ID7
19668,2,362.93000000000006,ID7
19669,2,362.94900000000007,ID7
19670,2,363.226,ID7
19671,2,363.2510050000001,ID7
19672,2,363.36200000000014,ID7
19673,1,363.44900000000007,ID7
19674,0,363.57100000000014,ID7
19675,0,363.58300500000007,ID7
19676,0,363.61500000000007,ID7
19677,0,363.632005,ID7
19678,0,363.66000000000014,ID7
19679,0,363.67200000000014,ID7
19680,0,363.885005,ID7
19681,0,363.897,ID7
19682,0,364.08000500000014,ID7
19683,0,364.096,ID7
19684,0,364.11900000000014,ID7
19685,0,364.13,ID7
19686,0,364.1530000000001,ID7
19687,0,364.18800000000016,ID7
19688,0,364.219005,ID7
19689,0,364.23400000000004,ID7
19690,0,364.267,ID7
